Capacity,C_penalty,C_total
70.0,2000000.0,359514400.0
60.0,2000000.0,308192097.82384306
50.0,2000000.0,263338220.70253897
40.0,2000000.0,255107496.83175385
70.0,2222222.222222222,359514400.0
60.0,2222222.222222222,308196197.5820478
50.0,2222222.222222222,264065134.11393216
40.0,2222222.222222222,260626463.14639318
70.0,2444444.4444444445,359514400.0
60.0,2444444.4444444445,308200297.3402526
50.0,2444444.4444444445,264792047.5253254
40.0,2444444.4444444445,266145429.4610325
70.0,2666666.6666666665,359514400.0
60.0,2666666.6666666665,308204397.0984574
50.0,2666666.6666666665,265518960.9367186
40.0,2666666.6666666665,271664395.77567184
70.0,2888888.888888889,359514400.0
60.0,2888888.888888889,308208496.85666215
50.0,2888888.888888889,266245874.34811184
40.0,2888888.888888889,277183362.09031117
70.0,3111111.111111111,359514400.0
60.0,3111111.111111111,308212596.614867
50.0,3111111.111111111,266972787.75950503
40.0,3111111.111111111,282702328.40495044
70.0,3333333.333333333,359514400.0
60.0,3333333.333333333,308216696.37307173
50.0,3333333.333333333,267699701.17089826
40.0,3333333.333333333,288221294.71958977
70.0,3555555.5555555555,359514400.0
60.0,3555555.5555555555,308220796.1312765
50.0,3555555.5555555555,268426614.58229148
40.0,3555555.5555555555,293740261.0342291
70.0,3777777.777777778,359514400.0
60.0,3777777.777777778,308224895.8894813
50.0,3777777.777777778,269153527.9936847
40.0,3777777.777777778,299259227.3488684
70.0,4000000.0,359514400.0
60.0,4000000.0,308228995.64768606
50.0,4000000.0,269880441.40507793
40.0,4000000.0,304778193.6635077
