,50,60,70,30_0,30_10,30_20,40_0,40_10,40_20
0,50.0,60.0,70.0,30.0,30.0,30.0,40.0,40.0,40.0
1,49.205,59.046,68.887,29.523,29.523,29.523,39.364,39.364,39.364
2,48.4226405,58.107168599999994,67.7916967,29.053584299999997,29.053584299999997,29.053584299999997,38.7381124,38.7381124,38.7381124
3,47.652720516049996,57.183264619259994,66.71380872246999,28.591632309629997,28.591632309629997,28.591632309629997,38.12217641284,38.12217641284,38.12217641284
4,46.8950422598448,56.27405071181376,65.65305916378271,28.13702535590688,28.13702535590688,28.13702535590688,37.51603380787584,37.51603380787584,37.51603380787584
5,46.149411087913265,55.37929330549592,64.60917552307858,27.68964665274796,27.68964665274796,27.68964665274796,36.919528870330616,36.919528870330616,36.919528870330616
6,45.415635451615444,54.49876254193853,63.58188963226162,27.249381270969266,27.249381270969266,27.249381270969266,36.332508361292355,36.332508361292355,36.332508361292355
7,44.693526847934756,53.632232217521704,62.57093758710866,26.816116108760852,26.816116108760852,26.816116108760852,35.75482147834781,35.75482147834781,35.75482147834781
8,43.982899771052594,52.77947972526311,61.57605967947363,26.389739862631554,26.389739862631554,26.389739862631554,35.18631981684207,35.18631981684207,35.18631981684207
9,43.28357166469286,51.94028599763143,60.59700033057,25.970142998815714,25.970142998815714,25.970142998815714,34.62685733175428,34.62685733175428,34.62685733175428
10,42.59536287522424,51.11443545026909,59.63350802531394,25.557217725134546,25.557217725134546,25.557217725134546,34.076290300179394,34.076290300179394,34.076290300179394
11,41.91809660550817,50.3017159266098,58.685335247711436,25.1508579633049,35.1508579633049,45.1508579633049,33.534477284406535,43.534477284406535,53.534477284406535
12,41.251598869480596,49.50191864337671,57.75223841727283,24.750959321688356,34.59195932168836,44.43295932168836,33.00127909558447,42.84227909558447,52.68327909558447
13,40.595698447455845,48.714838136947016,56.833977826438186,24.357419068473508,34.041947168473506,43.72647526847351,32.476558757964675,42.161086857964676,51.84561495796467
14,39.9502268421413,47.94027221056956,55.93031757899782,23.97013610528478,33.50068020849478,43.031224311704776,31.960181473713043,41.49072557692304,51.021269680133045
15,39.31501823535125,47.178021882421504,55.041025529491755,23.589010941210752,32.968019393179716,42.34702784514867,31.452014588281003,40.83102304024996,50.210031492218924
16,38.689909445409164,46.427891334491,54.16587322357283,23.2139456672455,32.44382788482815,41.67371010241081,30.951927556327334,40.18180977390999,49.411691991492646
17,38.07473988522716,45.68968786227259,53.304635839318024,22.844843931136296,31.927971021459385,41.01109811178247,30.459791908181728,39.54291899850482,48.626046088827906
18,37.46935152105205,44.96322182526246,52.45709212947286,22.48161091263123,31.42031628221818,40.359021651805136,29.975481216841636,38.914186586428585,47.85289195601554
19,36.87358883186732,44.24830659824079,51.62302436461425,22.124153299120394,30.920733253330912,39.71731320754143,29.49887106549386,38.29545101970437,47.092030973914895
20,36.28729876944063,43.54475852332875,50.80221827721688,21.772379261664376,30.429093594602946,39.08580792754152,29.029839015552504,37.686553348491074,46.343267681429644
